"","run","agent","RunAgentsurprise_lone_mean","RunAgentsurprise_lone_max","RunAgentsurprise_cond_mean","RunAgentsurprise_cond_max","RunAgentsurprise_cond2_mean","RunAgentsurprise_cond2_max","RunAgentblnkt_surprise_lone_mean","RunAgentblnkt_surprise_lone_max","RunAgentblnkt_surprise_cond_mean","RunAgentblnkt_surprise_cond_max","RunAgentblnkt_surprise_cond2_mean","RunAgentblnkt_surprise_cond2_max","RunAgentint_surprise_lone_mean","RunAgentint_surprise_lone_max","RunAgentint_surprise_cond_mean","RunAgentint_surprise_cond_max","RunAgentint_surprise_cond2_mean","RunAgentint_surprise_cond2_max"
"86",1,24,5.97613643939394,8.34854,6.18323985795455,8.34854,6.37817678030303,8.34854,5.45751447916667,8.34854,5.77927071496212,8.34854,6.00241310132576,8.34854,5.7170578030303,8.34854,6.00319746685606,8.34854,6.23925508996212,8.34854
"87",1,25,5.98143199810606,8.34854,6.23352145833333,8.34854,6.42529855113636,8.34854,5.49277929450758,8.34854,5.83859786931818,8.34854,6.06048731534091,8.34854,5.62167403882576,8.34854,5.94488541193182,8.34854,6.18569749526515,8.34854
"88",1,26,5.97985369791667,8.34854,6.21888599905303,8.34854,6.41595213541667,8.34854,5.51228820549242,8.34854,5.87128098958333,8.34854,6.09684477272727,8.34854,5.38066589015151,8.34854,5.6795246875,8.34854,5.93445550189394,8.34854
"89",1,27,5.99255117424242,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.51069608901515,8.34854,5.86231742897727,8.34854,6.08925785037879,8.34854,5.60640118371212,8.34854,5.90757432765152,8.34854,6.15495580965909,8.34854
"90",1,28,5.97607382575758,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.43982519886364,8.34854,5.78726720170455,8.34854,6.01273736742424,8.34854,5.40626461647727,8.34854,5.72081578125,8.34854,6.00371321022727,8.34854
"91",1,29,5.98525693655303,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.44927284564394,8.34854,5.81281177556818,8.34854,6.04015683238636,8.34854,5.60899487215909,8.34854,5.93274508522727,8.34854,6.17940296875,8.34854
"92",1,30,5.98125684185606,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.44930791193182,8.34854,5.8166762594697,8.34854,6.05052849431818,8.34854,5.4561899905303,8.34854,5.7799171780303,8.34854,6.04518205018939,8.34854
"93",1,31,5.97705841382576,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.45465473484848,8.34854,5.82185229166667,8.34854,6.05599638731061,8.34854,5.53963679924242,8.34854,5.85302806344697,8.34854,6.10314580492424,8.34854
"94",1,32,5.98263774621212,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.44651697443182,8.34854,5.78935693655303,8.34854,6.01479552083333,8.34854,5.45256439867424,8.34854,5.77776308238636,8.34854,6.04348599905303,8.34854
"95",1,33,5.98427872632576,8.34854,6.21197557291667,8.34854,6.41000618844697,8.34854,5.44651697443182,8.34854,5.78935693655303,8.34854,6.01479552083333,8.34854,5.42070830018939,8.34854,5.74759626893939,8.34854,6.01942054924242,8.34854
"96",1,34,5.97826848011364,8.34854,6.21888599905303,8.34854,6.41595213541667,8.34854,5.44773056344697,8.34854,5.79698116477273,8.34854,6.02202368844697,8.34854,5.40541919507576,8.34854,5.71975746685606,8.34854,6.00193526041667,8.34854
"97",1,35,5.98444844223485,8.34854,6.21888599905303,8.34854,6.41595213541667,8.34854,5.44773056344697,8.34854,5.79698116477273,8.34854,6.02202368844697,8.34854,5.4512437405303,8.34854,5.77623255208333,8.34854,6.04162126420455,8.34854
